fold,model,n_knots,degree,alpha,transformed_width,r2,mae,rmse,transform_seconds,fit_seconds
4,spline_k5_d3_a3p0,5,3,3.0,280,0.7853100854889765,0.5835534189233583,0.7363160111550165,0.16427610000027926,0.020000200001959456
4,spline_k5_d3_a10p0,5,3,10.0,280,0.7839390235325977,0.5853762158052725,0.7386634158188348,0.16427610000027926,0.020259200002328726
4,spline_k5_d3_a30p0,5,3,30.0,280,0.7816171081058068,0.5885693420234651,0.7426218601032704,0.16427610000027926,0.0187484999987646
4,spline_k6_d2_a3p0,6,2,3.0,280,0.7841236177122,0.5860483777785689,0.7383478056017465,0.13964709999709157,0.020268500000383938
4,spline_k6_d2_a10p0,6,2,10.0,280,0.7826230607139123,0.5880416033073268,0.7409094899944099,0.13964709999709157,0.01782400000229245
4,spline_k6_d2_a30p0,6,2,30.0,280,0.778263622272112,0.5931160212351811,0.7483019846827238,0.13964709999709157,0.01848690000042552
4,spline_k6_d3_a3p0,6,3,3.0,316,0.7846108453367672,0.5856740913578986,0.7375141186184753,0.13368130000162637,0.022392700000636978
4,spline_k6_d3_a10p0,6,3,10.0,316,0.7831840753386172,0.5868794045257651,0.7399527887088108,0.13368130000162637,0.02089469999918947
4,spline_k6_d3_a30p0,6,3,30.0,316,0.7812055062900253,0.5889360490819073,0.7433213668550391,0.13368130000162637,0.022184600002219668
4,spline_k7_d2_a3p0,7,2,3.0,316,0.7836213770687267,0.5875088270049835,0.7392061969616085,0.12569059999805177,0.021527799999603303
4,spline_k7_d2_a10p0,7,2,10.0,316,0.7821174033809604,0.5893693444914878,0.7417707329061112,0.12569059999805177,0.022625999998126645
4,spline_k7_d2_a30p0,7,2,30.0,316,0.7776432405084003,0.5944854474151586,0.7493480661861356,0.12569059999805177,0.021334100001695333
4,spline_k7_d3_a3p0,7,3,3.0,352,0.782176179766396,0.5892261817299932,0.7416706754809567,0.1419939000006707,0.02366000000256463
4,spline_k7_d3_a10p0,7,3,10.0,352,0.7810056858111663,0.5902172710618773,0.7436607193951721,0.1419939000006707,0.023716600000625476
4,spline_k7_d3_a30p0,7,3,30.0,352,0.7795859545239485,0.5915743203867979,0.7460673863081851,0.1419939000006707,0.023757700000714976
