left,right,correlation,abs_correlation
Fruit_Intake_Per_Day,Immune_Health_Score,0.16879376515247824,0.16879376515247824
Stress_Level,Focus_Concentration_Score,-0.16599354620179296,0.16599354620179296
Outdoor_Time_Hours,Fatigue_Level_Score,-0.16230341194608675,0.16230341194608675
Stress_Level,Systolic_BP,0.16215364662331794,0.16215364662331794
Exercise_Duration_Minutes,Protein_Intake_Grams,0.16154141535338135,0.16154141535338135
Blood_Sugar_Level,Health_Score,-0.16141076484150596,0.16141076484150596
Screen_Time_Before_Bed_Hours,Fatigue_Level_Score,0.1598516190493028,0.1598516190493028
Resting_Heart_Rate,Diastolic_BP,0.15799935487824687,0.15799935487824687
Exercise_Duration_Minutes,Water_Intake_Liters,0.1573116820804301,0.1573116820804301
Immune_Health_Score,Productivity_Score,0.15721661249806032,0.15721661249806032
Water_Intake_Liters,Depression_Risk_Score,-0.15669383319629357,0.15669383319629357
Protein_Intake_Grams,Anxiety_Score,-0.15607966265387838,0.15607966265387838
Outdoor_Time_Hours,Life_Satisfaction_Score,0.15492410833096476,0.15492410833096476
Water_Intake_Liters,Anxiety_Score,-0.15435197155899583,0.15435197155899583
Fatigue_Level_Score,Immune_Health_Score,-0.15426718092733194,0.15426718092733194
Daily_Calorie_Intake,Mood_Score,0.1539838036487898,0.1539838036487898
Weight_kg,Blood_Sugar_Level,0.15214550800880938,0.15214550800880938
Exercise_Duration_Minutes,Health_Score,0.15060436143866715,0.15060436143866715
Protein_Intake_Grams,Depression_Risk_Score,-0.14993904107475628,0.14993904107475628
Stress_Level,Diastolic_BP,0.14525913839854257,0.14525913839854257
Outdoor_Time_Hours,Mood_Score,0.14424370083413604,0.14424370083413604
Resting_Heart_Rate,Cholesterol_Level,0.14386823488163342,0.14386823488163342
Immune_Health_Score,Life_Satisfaction_Score,0.1423293415136125,0.1423293415136125
Resting_Heart_Rate,Productivity_Score,-0.1417045749470534,0.1417045749470534
Exercise_Duration_Minutes,Energy_Level_Score,0.1416442603285512,0.1416442603285512
Diastolic_BP,Blood_Sugar_Level,0.13947306088315986,0.13947306088315986
Daily_Calorie_Intake,Focus_Concentration_Score,0.13931606573683494,0.13931606573683494
Resting_Heart_Rate,Fatigue_Level_Score,0.13772336226306905,0.13772336226306905
Exercise_Duration_Minutes,Healthy_Aging_Score,0.1376032456679895,0.1376032456679895
Exercise_Duration_Minutes,Immune_Health_Score,0.1372549719611777,0.1372549719611777
Immune_Health_Score,Focus_Concentration_Score,0.13632873522917266,0.13632873522917266
Immune_Health_Score,Mood_Score,0.1345817471261898,0.1345817471261898
Exercise_Duration_Minutes,Outdoor_Time_Hours,0.13138136848116835,0.13138136848116835
Age,Health_Score,-0.1308066006416782,0.1308066006416782
Outdoor_Time_Hours,Focus_Concentration_Score,0.12859531463921706,0.12859531463921706
Outdoor_Time_Hours,Anxiety_Score,-0.12594568488397737,0.12594568488397737
Sleep_Duration_Hours,Fatigue_Level_Score,-0.12432259449408067,0.12432259449408067
Daily_Calorie_Intake,Anxiety_Score,-0.12318836448576113,0.12318836448576113
Exercise_Duration_Minutes,Resting_Heart_Rate,-0.12231801042272905,0.12231801042272905
Outdoor_Time_Hours,Depression_Risk_Score,-0.12174126892860912,0.12174126892860912
Social_Interaction_Score,Health_Score,0.1208276581896753,0.1208276581896753
Breakfast_Regularity_Score,Productivity_Score,0.12014529641649611,0.12014529641649611
Exercise_Duration_Minutes,Daily_Calorie_Intake,0.12013023701734035,0.12013023701734035
Daily_Calorie_Intake,Depression_Risk_Score,-0.11954133630791698,0.11954133630791698
Exercise_Frequency_Per_Week,Cholesterol_Level,-0.1176797441400763,0.1176797441400763
Immune_Health_Score,Depression_Risk_Score,-0.11762585478492708,0.11762585478492708
Systolic_BP,Anxiety_Score,0.11652301317761156,0.11652301317761156
Resting_Heart_Rate,Life_Satisfaction_Score,-0.11455381359538604,0.11455381359538604
Immune_Health_Score,Anxiety_Score,-0.11363623645393577,0.11363623645393577
Daily_Calorie_Intake,Health_Score,0.11316081325114336,0.11316081325114336
Resting_Heart_Rate,Focus_Concentration_Score,-0.11072457813398363,0.11072457813398363
Resting_Heart_Rate,Mood_Score,-0.1060201496425011,0.1060201496425011
Systolic_BP,Depression_Risk_Score,0.10490219185463831,0.10490219185463831
Diastolic_BP,Anxiety_Score,0.1046768150593523,0.1046768150593523
Exercise_Duration_Minutes,Life_Satisfaction_Score,0.10426305895139412,0.10426305895139412
Sleep_Duration_Hours,Productivity_Score,0.10347392784047542,0.10347392784047542
Exercise_Duration_Minutes,Productivity_Score,0.1032090492527635,0.1032090492527635
Social_Interaction_Score,Healthy_Aging_Score,0.10228604700053975,0.10228604700053975
Vegetable_Intake_Per_Day,Health_Score,0.1013571615594169,0.1013571615594169
Social_Interaction_Score,Energy_Level_Score,0.09748544192386731,0.09748544192386731
Systolic_BP,Mood_Score,-0.09738973523754538,0.09738973523754538
Number_of_Night_Awakenings,Fatigue_Level_Score,0.09718635088463021,0.09718635088463021
Daily_Steps,Cholesterol_Level,-0.09493542746361287,0.09493542746361287
Sleep_Duration_Hours,Energy_Level_Score,0.09454745056248391,0.09454745056248391
Number_of_Night_Awakenings,Productivity_Score,-0.09431059073893328,0.09431059073893328
Age,BMI,0.09227868196697814,0.09227868196697814
Exercise_Duration_Minutes,Fatigue_Level_Score,-0.09198146930976556,0.09198146930976556
Number_of_Night_Awakenings,Mood_Score,-0.09087639192684746,0.09087639192684746
Diastolic_BP,Depression_Risk_Score,0.09028306970077432,0.09028306970077432
Sleep_Duration_Hours,Focus_Concentration_Score,0.09012248425339493,0.09012248425339493
Resting_Heart_Rate,Depression_Risk_Score,0.08953830078556234,0.08953830078556234
Resting_Heart_Rate,Anxiety_Score,0.08891835838689165,0.08891835838689165
Sleep_Duration_Hours,Mood_Score,0.08866049389518046,0.08866049389518046
Systolic_BP,Life_Satisfaction_Score,-0.08848259969007255,0.08848259969007255
Sleep_Duration_Hours,Health_Score,0.08830533234134946,0.08830533234134946
Social_Interaction_Score,Productivity_Score,0.08827188458109389,0.08827188458109389
Diastolic_BP,Mood_Score,-0.0864056962797323,0.0864056962797323
Social_Interaction_Score,Fatigue_Level_Score,-0.08621283779632381,0.08621283779632381
Daily_Calorie_Intake,Systolic_BP,0.08378184622724316,0.08378184622724316
Exercise_Duration_Minutes,Mood_Score,0.08331563124658238,0.08331563124658238
Sleep_Quality_Score,Social_Interaction_Score,0.08287385922026966,0.08287385922026966
Daily_Calorie_Intake,Healthy_Aging_Score,0.08213418175437813,0.08213418175437813
Vegetable_Intake_Per_Day,Healthy_Aging_Score,0.0816917741272567,0.0816917741272567
Number_of_Night_Awakenings,Energy_Level_Score,-0.08025969414841681,0.08025969414841681
Systolic_BP,Immune_Health_Score,-0.07914658647274755,0.07914658647274755
Diastolic_BP,Life_Satisfaction_Score,-0.07779663641620674,0.07779663641620674
Sleep_Duration_Hours,Healthy_Aging_Score,0.07776799296773913,0.07776799296773913
Age,Weight_kg,0.07646416769869561,0.07646416769869561
Number_of_Night_Awakenings,Focus_Concentration_Score,-0.07210932201412097,0.07210932201412097
Sleep_Duration_Hours,Depression_Risk_Score,-0.0715986677082315,0.0715986677082315
Sleep_Duration_Hours,Anxiety_Score,-0.07024395083848467,0.07024395083848467
Exercise_Duration_Minutes,Focus_Concentration_Score,0.0695811386007078,0.0695811386007078
Systolic_BP,Productivity_Score,-0.06875589719091497,0.06875589719091497
Number_of_Night_Awakenings,Depression_Risk_Score,0.06629067557841982,0.06629067557841982
