contract,fold,model,alpha,l1_ratio,source_feature_count,engineered_feature_count,transformed_width,r2,adjusted_r2_raw,adjusted_r2_transformed,mae,rmse,fit_seconds
competition,4,elastic_a0p001_l1_0p1,0.001,0.1,62,64,111,0.6298400418616756,0.6144066624995566,0.6022273030489378,0.5593056424111554,0.691550041963923,0.18752880000101868
competition,4,elastic_a0p001_l1_0p3,0.001,0.3,62,64,111,0.6306925053804594,0.6152946684712408,0.6031433575963405,0.5588697179232454,0.6907532769823125,0.027970400002232054
competition,4,elastic_a0p001_l1_0p5,0.001,0.5,62,64,111,0.6313004944690812,0.6159280069420592,0.6037967007097184,0.5585248065216648,0.6901844509326116,0.04549820000102045
competition,4,elastic_a0p001_l1_0p7,0.001,0.7,62,64,111,0.6317711411661089,0.6164182766935558,0.6043024561321291,0.5582564864551769,0.6897437983737584,0.023180500000307802
competition,4,elastic_a0p001_l1_0p9,0.001,0.9,62,64,111,0.6321766583724546,0.6168407014576904,0.6047382236139482,0.5579991119847493,0.6893638987262438,0.01906289999897126
competition,4,elastic_a0p003_l1_0p1,0.003,0.1,62,64,111,0.6310199619659393,0.615635777969731,0.6034952413867856,0.5585906990602811,0.6904469714309865,0.03498609999951441
competition,4,elastic_a0p003_l1_0p3,0.003,0.3,62,64,111,0.6323417976587431,0.6170127260301825,0.6049156817582865,0.5577928519520036,0.689209131709261,0.015334100000472972
competition,4,elastic_a0p003_l1_0p5,0.003,0.5,62,64,111,0.633112300095003,0.6178153536494526,0.6057436611907996,0.5571518365399502,0.6884865640802122,0.011785099999542581
competition,4,elastic_a0p003_l1_0p7,0.003,0.7,62,64,111,0.6339546863855392,0.6186928622348385,0.6066488867812347,0.556494013381119,0.6876957159075957,0.010903700000199024
competition,4,elastic_a0p003_l1_0p9,0.003,0.9,62,64,111,0.6346295606784416,0.6193958746090085,0.6073741045193737,0.5558693269776446,0.6870614743832247,0.009795400001166854
competition,4,elastic_a0p01_l1_0p1,0.01,0.1,62,64,111,0.6321536442269151,0.6168167277647149,0.6047134926873907,0.5576560456817924,0.6893854646128301,0.016599200000200653
competition,4,elastic_a0p01_l1_0p3,0.01,0.3,62,64,111,0.6342478076586386,0.6189982048509206,0.6069638739557548,0.5557466422029905,0.6874203147382495,0.015139499999349937
competition,4,elastic_a0p01_l1_0p5,0.01,0.5,62,64,111,0.635105949233249,0.6198921256182184,0.6078860301236326,0.5547064077948055,0.6866134154442756,0.010090600000694394
competition,4,elastic_a0p01_l1_0p7,0.01,0.7,62,64,111,0.6351412433220355,0.6199288912520747,0.6079239570375905,0.5544599045554766,0.6865802085711941,0.00929069999983767
competition,4,elastic_a0p01_l1_0p9,0.01,0.9,62,64,111,0.6349686781870598,0.6197491312189634,0.6077385191002075,0.5544696326498016,0.6867425533119057,0.009488300001976313
competition,4,elastic_a0p03_l1_0p1,0.03,0.1,62,64,111,0.6301023413949935,0.6146798983000616,0.6025091692813136,0.558076208010657,0.6913049784515111,0.013459499998134561
competition,4,elastic_a0p03_l1_0p3,0.03,0.3,62,64,111,0.6305883896751037,0.615186211785336,0.6030314751952223,0.5569315820651275,0.6908506392043042,0.0087511000019731
competition,4,elastic_a0p03_l1_0p5,0.03,0.5,62,64,111,0.6292801168945449,0.6138233921266301,0.6016256094854686,0.5576610756580029,0.69207288324561,0.008111700000881683
competition,4,elastic_a0p03_l1_0p7,0.03,0.7,62,64,111,0.6277438786384227,0.6122231022428912,0.5999747728110469,0.5587716607059541,0.6935053525009386,0.009146099997451529
competition,4,elastic_a0p03_l1_0p9,0.03,0.9,62,64,111,0.6259305063032723,0.6103341235041905,0.5980261287492825,0.5600532406456807,0.6951924377493738,0.008697199999005534
scientific_proxy_removed,0,elastic_a0p0001_l1_0p1,0.0001,0.1,58,60,103,0.6083034849345519,0.5930326656337547,0.5813350751406072,0.5801130710254355,0.724728560330417,0.37164259999917704
scientific_proxy_removed,0,elastic_a0p0001_l1_0p3,0.0001,0.3,58,60,103,0.6084404856027336,0.5931750074585906,0.5814815083414244,0.5800418215554289,0.7246018078874663,0.2895100999994611
scientific_proxy_removed,0,elastic_a0p0001_l1_0p5,0.0001,0.5,58,60,103,0.6085751075152024,0.5933148777886996,0.5816253990085619,0.5799726732823945,0.7244772346573017,0.22832500000004075
scientific_proxy_removed,0,elastic_a0p0001_l1_0p7,0.0001,0.7,58,60,103,0.6087074984322444,0.5934524301450024,0.5817669050756409,0.579904087219297,0.7243547049984747,0.1979810999982874
scientific_proxy_removed,0,elastic_a0p0001_l1_0p9,0.0001,0.9,58,60,103,0.6088326653074596,0.593582476820421,0.5819006897236818,0.5798402936034703,0.7242388422279394,0.14217309999730787
scientific_proxy_removed,0,elastic_a0p0003_l1_0p1,0.0003,0.1,58,60,103,0.6086373427427852,0.5933795393409446,0.5816919191482044,0.579928316722369,0.7244196376587516,0.25647899999967194
scientific_proxy_removed,0,elastic_a0p0003_l1_0p3,0.0003,0.3,58,60,103,0.6089741223072835,0.5937294487130256,0.5820518860757663,0.579756455678574,0.7241078779213153,0.12234020000323653
scientific_proxy_removed,0,elastic_a0p0003_l1_0p5,0.0003,0.5,58,60,103,0.6093057106227628,0.5940739644482116,0.5824063043354263,0.5796102823886022,0.723800792573618,0.14587200000096345
scientific_proxy_removed,0,elastic_a0p0003_l1_0p7,0.0003,0.7,58,60,103,0.6094858246910487,0.5942611005074638,0.5825988193054725,0.5795175982011088,0.7236339335517626,0.07178769999882206
scientific_proxy_removed,0,elastic_a0p0003_l1_0p9,0.0003,0.9,58,60,103,0.6095910380834721,0.5943704157865315,0.5827112766680962,0.5794796890011678,0.7235364452725688,0.033752800001821015
scientific_proxy_removed,0,elastic_a0p001_l1_0p1,0.001,0.1,58,60,103,0.6094005491848351,0.5941725004201113,0.5825076725578551,0.5795201430279601,0.7237129382147185,0.12362080000093556
scientific_proxy_removed,0,elastic_a0p001_l1_0p3,0.001,0.3,58,60,103,0.6098495594171633,0.5946390159246551,0.5829875972647354,0.5793626461115603,0.7232968496171429,0.02930019999985234
scientific_proxy_removed,0,elastic_a0p001_l1_0p5,0.001,0.5,58,60,103,0.6101968518488687,0.594999848022314,0.5833588008732227,0.5792386113136365,0.7229748565845413,0.01969019999887678
scientific_proxy_removed,0,elastic_a0p001_l1_0p7,0.001,0.7,58,60,103,0.6105132517289374,0.595328583180358,0.583696984969633,0.579069636661695,0.7226813807669612,0.09116180000273744
scientific_proxy_removed,0,elastic_a0p001_l1_0p9,0.001,0.9,58,60,103,0.6107046966927019,0.5955274918853999,0.5839016109703412,0.5789071398275252,0.7225037486436013,0.0324350000009872
scientific_proxy_removed,0,elastic_a0p003_l1_0p1,0.003,0.1,58,60,103,0.6103292133764331,0.5951373698433506,0.5835002755273506,0.57908330347579,0.7228520995189451,0.02666780000072322
scientific_proxy_removed,0,elastic_a0p003_l1_0p3,0.003,0.3,58,60,103,0.6111894223756982,0.5960311152558424,0.5844197101462175,0.5785476960999442,0.7220538007445763,0.024360600000363775
scientific_proxy_removed,0,elastic_a0p003_l1_0p5,0.003,0.5,58,60,103,0.6120836137288799,0.5969601678703567,0.5853754668131543,0.577926630945663,0.7212230287045049,0.013136500001564855
scientific_proxy_removed,0,elastic_a0p003_l1_0p7,0.003,0.7,58,60,103,0.6128369223672963,0.597742845266606,0.5861806409527451,0.5775360771170313,0.7205224040615098,0.010259400001814356
scientific_proxy_removed,0,elastic_a0p003_l1_0p9,0.003,0.9,58,60,103,0.6134686521772029,0.5983992039190043,0.5868558655289756,0.5771248025268307,0.7199343297647539,0.010295200001564808
scientific_proxy_removed,0,elastic_a0p01_l1_0p1,0.01,0.1,58,60,103,0.6118998512989484,0.5967692412131375,0.5851790522907878,0.578049990449778,0.7213938361372805,0.01299730000027921
scientific_proxy_removed,0,elastic_a0p01_l1_0p3,0.01,0.3,58,60,103,0.6137656620669776,0.5987077931417135,0.5871733246290757,0.5770248701107179,0.7196576785835538,0.01101330000165035
scientific_proxy_removed,0,elastic_a0p01_l1_0p5,0.01,0.5,58,60,103,0.6147898169206236,0.5997718760598292,0.5882679928182334,0.5765453147673907,0.7187029082888077,0.008771699998760596
scientific_proxy_removed,0,elastic_a0p01_l1_0p7,0.01,0.7,58,60,103,0.6152481906795766,0.6002481201407686,0.5887579257330501,0.5764245977596789,0.718275177367336,0.009398400001373375
scientific_proxy_removed,0,elastic_a0p01_l1_0p9,0.01,0.9,58,60,103,0.6154278025467421,0.6004347344199095,0.5889499039252946,0.576430202619688,0.7181075032947203,0.008188299998437287
scientific_proxy_removed,0,elastic_a0p03_l1_0p1,0.03,0.1,58,60,103,0.6125975712336715,0.5974941627047698,0.5859248104295727,0.5780070661990144,0.7207450895631496,0.012575900000229012
scientific_proxy_removed,0,elastic_a0p03_l1_0p3,0.03,0.3,58,60,103,0.6140188079074484,0.598970808215731,0.5874438996283489,0.5772324212643691,0.7194218007878269,0.008912500001315493
scientific_proxy_removed,0,elastic_a0p03_l1_0p5,0.03,0.5,58,60,103,0.6136639364421882,0.5986021016056262,0.5870645951678202,0.5776402995967562,0.7197524433417772,0.007668800000828924
scientific_proxy_removed,0,elastic_a0p03_l1_0p7,0.03,0.7,58,60,103,0.6129641811009499,0.5978750653543983,0.5863166614842372,0.578282668911704,0.720403978119065,0.008288299999549054
scientific_proxy_removed,0,elastic_a0p03_l1_0p9,0.03,0.9,58,60,103,0.6117358023784756,0.5965987966232504,0.5850037085582771,0.5793461710359612,0.7215462856753444,0.007452700003341306
scientific_proxy_removed,1,elastic_a0p0001_l1_0p1,0.0001,0.1,58,60,103,0.624422722042441,0.6097803330382476,0.598564126033331,0.5500234193554486,0.7001185263528393,0.3675474999981816
scientific_proxy_removed,1,elastic_a0p0001_l1_0p3,0.0001,0.3,58,60,103,0.6245237917635873,0.6098853430993997,0.5986721544318022,0.5499185967498709,0.7000243173184517,0.2972044000016467
scientific_proxy_removed,1,elastic_a0p0001_l1_0p5,0.0001,0.5,58,60,103,0.6246048823626891,0.609969595125367,0.5987588281403341,0.5498317418532133,0.6999487220407342,0.2633418999976129
scientific_proxy_removed,1,elastic_a0p0001_l1_0p7,0.0001,0.7,58,60,103,0.6246873407811282,0.6100552682969617,0.5988469638429306,0.5497453674336825,0.6998718432645843,0.22343940000064322
scientific_proxy_removed,1,elastic_a0p0001_l1_0p9,0.0001,0.9,58,60,103,0.6247672108204322,0.6101382521779539,0.5989323329557962,0.549662398041874,0.6997973696696776,0.18831700000009732
scientific_proxy_removed,1,elastic_a0p0003_l1_0p1,0.0003,0.1,58,60,103,0.6245950855425615,0.6099594163629343,0.5987483568065213,0.5498419982325031,0.699957855386731,0.35076520000075107
scientific_proxy_removed,1,elastic_a0p0003_l1_0p3,0.0003,0.3,58,60,103,0.6248350315264426,0.6102087169660699,0.5990048231355493,0.5495958960586601,0.6997341250682095,0.2088609999991604
scientific_proxy_removed,1,elastic_a0p0003_l1_0p5,0.0003,0.5,58,60,103,0.6250555292128782,0.6104378110535362,0.5992405021466526,0.5493530940560571,0.6995284656307452,0.18638260000079754
scientific_proxy_removed,1,elastic_a0p0003_l1_0p7,0.0003,0.7,58,60,103,0.6252562097560976,0.6106463153996102,0.5994549995989304,0.549112904813295,0.699341237184286,0.22586819999924046
scientific_proxy_removed,1,elastic_a0p0003_l1_0p9,0.0003,0.9,58,60,103,0.6254228061344995,0.6108194067635249,0.5996330661825299,0.5488982174290746,0.6991857700731772,0.13814230000207317
scientific_proxy_removed,1,elastic_a0p001_l1_0p1,0.001,0.1,58,60,103,0.6250932102935491,0.6104769611821865,0.5992807775798028,0.5493475166450732,0.6994933142244879,0.1435633000000962
scientific_proxy_removed,1,elastic_a0p001_l1_0p3,0.001,0.3,58,60,103,0.6256787089085238,0.6110852862538854,0.5999065879309691,0.548660706058524,0.6989468952155481,0.08027809999839519
